item,ibge
http://www.wikidata.org/entity/Q1761456,1100015
http://www.wikidata.org/entity/Q1646975,1100023
http://www.wikidata.org/entity/Q940433,1100031
http://www.wikidata.org/entity/Q1761637,1100049
http://www.wikidata.org/entity/Q1803210,1100056
http://www.wikidata.org/entity/Q1785819,1100064
http://www.wikidata.org/entity/Q927349,1100072
http://www.wikidata.org/entity/Q656758,1100080
http://www.wikidata.org/entity/Q616498,1100098
http://www.wikidata.org/entity/Q983810,1100106
http://www.wikidata.org/entity/Q988755,1100114
http://www.wikidata.org/entity/Q983815,1100122
http://www.wikidata.org/entity/Q1786440,1100130
http://www.wikidata.org/entity/Q2014329,1100148
http://www.wikidata.org/entity/Q1803223,1100155
http://www.wikidata.org/entity/Q1803175,1100189
http://www.wikidata.org/entity/Q172512,1100205
http://www.wikidata.org/entity/Q1871362,1100254
http://www.wikidata.org/entity/Q1786495,1100262
http://www.wikidata.org/entity/Q1784242,1100288
http://www.wikidata.org/entity/Q1802100,1100296
http://www.wikidata.org/entity/Q1749958,1100304
http://www.wikidata.org/entity/Q1807456,1100320
http://www.wikidata.org/entity/Q993507,1100338
http://www.wikidata.org/entity/Q1786028,1100346
http://www.wikidata.org/entity/Q1802050,1100379
http://www.wikidata.org/entity/Q607036,1100403
http://www.wikidata.org/entity/Q1921800,1100452
http://www.wikidata.org/entity/Q2013150,1100502
http://www.wikidata.org/entity/Q1750177,1100601
http://www.wikidata.org/entity/Q2089179,1100700
http://www.wikidata.org/entity/Q2078405,1100809
http://www.wikidata.org/entity/Q1785860,1100908
http://www.wikidata.org/entity/Q735454,1100924
http://www.wikidata.org/entity/Q1803135,1100940
http://www.wikidata.org/entity/Q964725,1101005
http://www.wikidata.org/entity/Q1802170,1101104
http://www.wikidata.org/entity/Q775204,1101203
http://www.wikidata.org/entity/Q2079711,1101302
http://www.wikidata.org/entity/Q2014320,1101401
http://www.wikidata.org/entity/Q2364475,1101435
http://www.wikidata.org/entity/Q1803114,1101450
http://www.wikidata.org/entity/Q1803105,1101468
http://www.wikidata.org/entity/Q1802123,1101476
http://www.wikidata.org/entity/Q1803269,1101484
http://www.wikidata.org/entity/Q1802095,1101492
http://www.wikidata.org/entity/Q727950,1101500
http://www.wikidata.org/entity/Q1802088,1101559
http://www.wikidata.org/entity/Q647208,1101609
http://www.wikidata.org/entity/Q2089326,1101708
http://www.wikidata.org/entity/Q1807445,1101757
http://www.wikidata.org/entity/Q2013187,1101807
http://www.wikidata.org/entity/Q953086,1200013
http://www.wikidata.org/entity/Q1754403,1200054
http://www.wikidata.org/entity/Q899406,1200104
http://www.wikidata.org/entity/Q1754408,1200138
http://www.wikidata.org/entity/Q1800737,1200179
http://www.wikidata.org/entity/Q941136,1200203
http://www.wikidata.org/entity/Q1755395,1200252
http://www.wikidata.org/entity/Q1994833,1200302
http://www.wikidata.org/entity/Q1800793,1200328
http://www.wikidata.org/entity/Q1772621,1200336
http://www.wikidata.org/entity/Q1772688,1200344
http://www.wikidata.org/entity/Q1772613,1200351
http://www.wikidata.org/entity/Q964075,1200385
http://www.wikidata.org/entity/Q1772588,1200393
http://www.wikidata.org/entity/Q171612,1200401
http://www.wikidata.org/entity/Q1800776,1200427
http://www.wikidata.org/entity/Q1772719,1200435
http://www.wikidata.org/entity/Q771763,1200450
http://www.wikidata.org/entity/Q1754389,1200500
http://www.wikidata.org/entity/Q979910,1200609
http://www.wikidata.org/entity/Q1012531,1200708
http://www.wikidata.org/entity/Q1772602,1200807
http://www.wikidata.org/entity/Q1808573,1300029
http://www.wikidata.org/entity/Q1772609,1300060
http://www.wikidata.org/entity/Q974915,1300086
http://www.wikidata.org/entity/Q931090,1300102
http://www.wikidata.org/entity/Q1112525,1300144
http://www.wikidata.org/entity/Q1793319,1300201
http://www.wikidata.org/entity/Q1772695,1300300
http://www.wikidata.org/entity/Q807939,1300409
http://www.wikidata.org/entity/Q1772565,1300508
http://www.wikidata.org/entity/Q1767926,1300607
http://www.wikidata.org/entity/Q584172,1300631
http://www.wikidata.org/entity/Q940548,1300680
http://www.wikidata.org/entity/Q1793334,1300706
http://www.wikidata.org/entity/Q2089660,1300805
http://www.wikidata.org/entity/Q945469,1300839
http://www.wikidata.org/entity/Q1807050,1300904
http://www.wikidata.org/entity/Q1794236,1301001
http://www.wikidata.org/entity/Q1751325,1301100
http://www.wikidata.org/entity/Q1807045,1301159
http://www.wikidata.org/entity/Q645204,1301209
http://www.wikidata.org/entity/Q1762074,1301308
http://www.wikidata.org/entity/Q1646910,1301407
http://www.wikidata.org/entity/Q1750090,1301506
http://www.wikidata.org/entity/Q1793768,1301605
http://www.wikidata.org/entity/Q1808440,1301654
http://www.wikidata.org/entity/Q1025760,1301704
http://www.wikidata.org/entity/Q1794374,1301803
http://www.wikidata.org/entity/Q1761947,1301852
http://www.wikidata.org/entity/Q1750426,1301902
http://www.wikidata.org/entity/Q1102558,1301951
http://www.wikidata.org/entity/Q1808448,1302009
http://www.wikidata.org/entity/Q1757955,1302108
http://www.wikidata.org/entity/Q1008285,1302207
http://www.wikidata.org/entity/Q684641,1302306
http://www.wikidata.org/entity/Q386631,1302405
http://www.wikidata.org/entity/Q983526,1302504
http://www.wikidata.org/entity/Q1807976,1302553
http://www.wikidata.org/entity/Q40236,1302603
